ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
VAN ALSTYNE H S,Texas,484389004982,4843890,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,222,239,230,234,247,–,†,†,†,2,="0",="0",†,="0",="0",="0",†,6,3,3,†,8,6,3,†,206,230,224,234,16.70,17.00,†,22.00,18.40
VAN ALSTYNE J H,Texas,484389004983,4843890,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,190,184,167,171,172,–,†,†,†,2,4,4,1,1,="0",="0",†,7,4,6,7,7,9,9,5,173,167,148,158,10.60,10.00,†,8.00,10.30
VAN BUREN EL,Texas,483543004023,4835430,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,355,366,334,354,351,–,†,†,†,="0",="0",="0",†,="0",1,="0",†,16,18,12,13,="0",="0",1,†,339,347,321,341,20.50,20.00,†,20.00,19.00
VAN H S,Texas,484392004985,4843920,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,502,489,472,487,494,–,†,†,†,1,1,="0",1,2,1,="0",†,12,13,11,11,28,25,23,21,459,449,438,454,30.00,30.00,†,38.00,35.50
VAN HORN J H,Texas,481599001172,4815990,6-Small town,6-Small town,6-Small town,6-Small town,†,94,164,192,209,227,–,†,†,†,="0",="0",="0",†,="0",="0",2,†,73,131,149,167,="0",="0",="0",†,21,33,41,42,17.20,15.00,†,15.00,12.90
VAN HORN SCHOOL,Texas,481599001171,4815990,6-Small town,6-Small town,6-Small town,6-Small town,†,227,222,192,205,194,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,177,178,155,159,="0",="0",1,†,50,44,36,46,25.00,17.00,†,15.00,18.00
VAN J H,Texas,484392004986,4843920,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,424,405,403,430,393,–,†,†,†,="0",2,3,2,="0",="0",="0",†,22,20,13,9,18,25,20,18,384,358,367,401,25.80,26.00,†,24.00,20.40
VAN VLECK EL,Texas,484395004987,4843950,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,367,413,320,322,360,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,66,67,53,53,97,113,84,81,204,233,183,188,23.50,23.00,†,21.00,33.40
VAN VLECK H S,Texas,484395004988,4843950,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,256,261,292,306,298,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,33,26,36,33,75,80,84,91,147,155,172,182,21.30,21.00,†,23.00,18.90
VAN ZANDT-GUINN EL,Texas,481970001866,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,310,317,389,442,486,–,†,†,†,1,2,2,2,="0",="0",="0",6,22,23,40,41,277,286,341,351,10,6,6,42,20.10,20.00,†,21.00,25.40
VAN ZANDT-RAINS COOP,Texas,483636006777,4836360,†,7-Rural - outside CBSA/MSA,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,2.00,†,†,†
VANDAGRIFF EL,Texas,480778000088,4807780,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,476,449,423,786,705,–,†,†,†,2,3,2,3,="0",1,6,13,13,7,11,18,1,1,2,5,460,437,402,747,22.00,22.00,†,35.00,30.90
VANDERBILT EL                                     ,Texas,482415002694,4824150,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,99,115,119,132,128,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,25,30,30,46,9,12,13,13,65,73,76,73,7.20,7.00,†,9.00,8.00
VANDIVER ELEMENTARY,Texas,484233004830,4842330,†,†,†,2-Midsize city,†,†,†,†,124,119,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,45,†,†,†,35,†,†,†,44,†,†,†,11.00,11.50
VANSTON MIDDLE,Texas,483039003421,4830390,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,972,861,810,863,850,–,†,†,†,4,1,2,3,54,31,33,28,65,89,74,61,39,36,34,38,810,704,667,733,42.50,42.00,†,41.00,37.70
VEDA KNOX EL,Texas,480870000267,4808700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,51,46,62,71,46,–,†,†,†,="0",="0",="0",†,2,1,="0",1,5,2,5,7,4,2,5,7,40,41,52,56,9.50,10.00,†,12.00,8.20
VEGA EL,Texas,484398004990,4843980,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,146,149,168,158,163,–,†,†,†,="0",="0",="0",†,="0",="0",="0",1,24,23,19,11,="0",="0",="0",†,122,126,149,146,12.00,12.00,†,10.00,14.00
VEGA H S,Texas,484398004991,4843980,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,188,188,173,183,177,–,†,†,†,2,="0",="0",†,="0",="0",1,2,14,22,16,19,="0",="0",="0",†,172,166,156,162,15.40,15.00,†,18.00,13.30
VELASCO EL,Texas,481119000594,4811190,6-Small town,6-Small town,6-Small town,6-Small town,†,660,740,839,752,723,–,†,†,†,3,1,1,2,2,6,4,†,360,348,355,318,111,101,137,136,274,284,342,296,23.00,45.00,†,35.00,40.00
VELMA PENNY EL,Texas,482751003092,4827510,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,514,508,482,623,626,–,†,†,†,="0",="0",="0",†,1,1,="0",†,25,23,22,26,42,46,52,60,446,438,408,537,25.50,26.00,†,31.00,21.50
VENUS EL,Texas,484401004992,4844010,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,545,544,587,602,622,–,†,†,†,4,="0",="0",†,18,6,="0",1,100,101,108,92,2,4,3,3,421,433,476,506,34.30,33.00,†,32.00,33.80
VENUS H S,Texas,484401004993,4844010,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,364,366,329,323,363,–,†,†,†,="0",="0",="0",†,14,3,="0",2,63,60,49,44,5,4,3,6,282,299,277,271,27.60,28.00,†,29.00,17.90
VERIBEST EL,Texas,484404004994,4844040,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,139,135,149,152,136,–,†,†,†,="0",="0",="0",†,2,1,1,1,12,18,17,17,="0",="0",="0",†,125,116,131,134,12.20,12.00,†,12.00,9.70
VERMILLION ROAD EL,Texas,481168005416,4811680,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,862,907,913,904,827,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,954,887,897,889,2,1,1,1,25,19,15,14,63.60,53.00,†,46.00,46.60
VERNON H S,Texas,484411004998,4844110,6-Small town,6-Small town,6-Small town,6-Small town,†,555,631,635,664,824,–,†,†,†,1,="0",="0",†,7,4,5,6,101,97,96,81,74,94,89,91,372,436,445,486,52.90,53.00,†,51.00,70.20
VERNON MIDDLE,Texas,484411004999,4844110,6-Small town,6-Small town,6-Small town,6-Small town,†,576,524,513,575,785,–,†,†,†,4,3,1,1,4,3,4,5,133,114,95,112,58,53,63,88,377,351,350,369,35.80,36.00,†,43.00,46.30
VERNON MIDDLE,Texas,482253002290,4822530,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,765,744,671,693,661,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,618,629,549,583,5,3,3,4,141,112,119,106,50.00,42.00,†,38.00,35.60
VERSIA WILLIAMS EL,Texas,481970001922,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,549,525,512,482,442,–,†,†,†,="0",1,1,†,3,7,10,7,89,71,59,55,424,401,407,370,33,45,35,50,26.10,26.00,†,20.00,23.30
VESTAL EL,Texas,482247002271,4822470,1-Large city,1-Large city,1-Large city,1-Large city,†,585,585,628,650,502,–,†,†,†,="0",="0",="0",†,9,16,18,†,545,544,579,598,="0",="0",="0",†,31,25,31,52,34.30,34.00,†,34.00,32.50
VIC ROBERTSON EL,Texas,483808005588,4838080,6-Small town,6-Small town,6-Small town,6-Small town,†,510,520,483,492,520,–,†,†,†,="0",1,="0",†,4,3,1,2,103,78,68,74,37,30,21,16,366,408,393,400,33.20,33.00,†,30.00,47.50
VICKERS EL,Texas,484415005018,4844150,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,485,495,477,463,511,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,68,69,60,56,5,6,5,4,412,420,412,403,26.70,27.00,†,23.00,23.00
VICTOR H HEXTER EL,Texas,481623001275,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,514,469,405,316,336,–,†,†,†,4,="0",3,1,11,26,13,11,168,140,110,78,54,41,28,19,277,262,251,207,27.20,27.00,†,17.00,18.00
VICTORIA CAREER DEV SCH,Texas,484415006796,4844150,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,8.00,†,†,†
VICTORIA CAREER DEV SCHOOL,Texas,484415005610,4844150,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,8.00
VICTORIA H S,Texas,484415005019,4844150,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,2277,2236,2199,2199,2181,–,†,†,†,5,5,10,12,14,21,16,15,787,763,705,683,139,121,139,128,1332,1326,1329,1361,120.40,120.00,†,115.00,108.50
VICTORIA HEIGHTS EL,Texas,481168000669,4811680,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,618,680,710,680,672,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,678,675,710,680,="0",="0",="0",†,2,5,="0",†,33.50,40.00,†,34.00,38.50
VIDOR EL,Texas,484416005024,4844160,6-Small town,6-Small town,6-Small town,6-Small town,†,822,831,851,819,848,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,13,17,15,13,="0",="0",="0",†,809,814,836,806,51.00,51.00,†,49.00,53.90
VIDOR H S,Texas,484416005025,4844160,6-Small town,6-Small town,6-Small town,6-Small town,†,1479,1539,1594,1643,1661,–,†,†,†,="0",="0",="0",†,3,2,="0",†,46,49,52,48,="0",="0",="0",†,1430,1488,1542,1595,95.50,96.00,†,102.00,101.80
VIDOR J H,Texas,484416005026,4844160,6-Small town,6-Small town,6-Small town,6-Small town,†,931,856,835,826,859,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,19,26,28,32,="0",="0",="0",†,911,830,807,794,49.10,49.00,†,50.00,57.90
VIDOR MIDDLE,Texas,484416005932,4844160,6-Small town,6-Small town,6-Small town,6-Small town,†,951,922,944,904,870,–,†,†,†,="0",="0",2,1,="0",1,1,1,21,15,23,9,="0",="0",="0",†,930,906,918,893,49.50,49.00,†,48.00,47.50
VIKING HILLS EL,Texas,484428005061,4844280,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,252,256,249,214,210,–,†,†,†,="0",="0",="0",†,="0",="0",2,†,28,23,9,10,74,83,68,55,150,150,170,149,17.00,17.00,†,15.00,13.30
VILAS EL,Texas,481830001718,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,593,579,575,509,650,–,†,†,†,1,="0",="0",†,1,="0",1,†,588,575,568,500,1,="0",="0",†,2,4,6,9,37.10,37.00,†,28.00,41.10
VILLA NUEVA EL,Texas,481168000670,4811680,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,203,227,212,223,231,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,226,224,205,218,3,2,2,2,2,1,5,3,22.10,16.00,†,13.00,15.00
VILLAREAL EL,Texas,482829003165,4828290,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,432,514,493,480,479,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,472,492,472,464,="0",1,1,1,16,21,20,15,43.60,29.00,†,28.00,19.70
VILLARREAL EL,Texas,483312003696,4833120,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,789,858,813,941,836,–,†,†,†,="0",="0",="0",†,3,2,="0",†,676,749,720,824,26,35,20,24,84,72,73,93,47.60,48.00,†,50.00,45.50
VINCENT EL,Texas,480967021043,4809670,2-Midsize city,†,†,†,†,837,†,†,†,†,–,†,†,†,1,†,†,†,6,†,†,†,11,†,†,†,493,†,†,†,271,†,†,†,27.80,†,†,†,†
VINCENT MIDDLE,Texas,480967005955,4809670,†,2-Midsize city,2-Midsize city,2-Midsize city,†,†,851,787,791,782,†,†,†,†,†,1,="0",1,†,4,3,2,†,20,16,13,†,449,397,375,†,377,371,400,†,47.00,†,44.00,32.50
VINES H S,Texas,483510003974,4835100,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,1407,1519,1423,1385,1391,–,†,†,†,6,1,="0",1,72,62,49,53,54,41,33,29,44,38,37,36,1231,1377,1304,1266,155.60,87.00,†,78.00,76.70
VIOLA COBB EL,Texas,481359000852,4813590,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,623,599,634,603,626,–,†,†,†,="0",="0",="0",1,25,20,20,15,134,121,119,110,100,98,100,96,364,360,395,381,32.00,32.00,†,28.00,29.40
VIOLA M COLEMAN H S,Texas,483057006756,4830570,2-Midsize city,2-Midsize city,†,†,†,113,19,†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,42,5,†,†,27,3,†,†,44,11,†,†,4.00,†,†,†,†
VIRGINIA ALLRED STACEY JR/SR H S,Texas,482637006877,4826370,3-Urban fringe of large city,†,†,†,†,156,†,†,†,†,–,†,†,†,="0",†,†,†,6,†,†,†,26,†,†,†,31,†,†,†,93,†,†,†,14.70,†,†,†,†
VIRGINIA REINHARDT EL,Texas,483765006165,4837650,1-Large city,1-Large city,1-Large city,1-Large city,†,541,442,427,738,720,–,†,†,†,1,="0",="0",3,1,2,4,6,30,17,13,26,16,5,7,20,493,418,403,683,27.90,28.00,†,35.00,29.20
VIS HSCP INFANT PROG,Texas,480894006357,4808940,†,†,2-Midsize city,2-Midsize city,†,†,†,="0",8,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",2,†,†,="0",2,†,†,="0",4,†,†,†,="0.00",†
VISTA DEL SOL EL,Texas,484071005924,4840710,1-Large city,1-Large city,1-Large city,1-Large city,†,1224,1303,1095,905,1036,–,†,†,†,="0",="0",="0",3,4,3,8,4,980,1043,849,690,37,39,31,18,203,218,207,190,60.80,61.00,†,51.00,30.90
VISTA HILLS EL,Texas,484668005345,4846680,1-Large city,1-Large city,1-Large city,1-Large city,†,937,904,867,839,797,–,†,†,†,1,2,1,1,8,7,8,9,590,548,522,484,44,36,27,24,294,311,309,321,51.90,15.00,†,44.00,40.00
VIVIAN FOWLER EL,Texas,483176003537,4831760,6-Small town,6-Small town,6-Small town,6-Small town,†,459,441,424,419,415,–,†,†,†,1,1,4,4,="0",="0",="0",†,142,125,102,80,110,115,108,92,206,200,210,243,26.10,26.00,†,24.00,23.80
VYSEHRAD EL,Texas,484425005027,4844250,6-Small town,6-Small town,6-Small town,6-Small town,†,53,52,51,51,51,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,="0",="0",="0",†,="0",="0",="0",†,53,52,51,51,4.40,4.00,†,4.00,3.50
W A BLAIR EL,Texas,481623001213,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,636,658,663,722,738,–,†,†,†,2,="0",="0",†,="0",="0",2,2,172,166,177,172,386,414,377,446,76,78,107,102,38.40,38.00,†,33.00,35.00
W A KIEBERGER EL,Texas,480858000227,4808580,6-Small town,6-Small town,6-Small town,6-Small town,†,320,293,338,541,562,–,†,†,†,="0",1,="0",†,="0",="0",2,2,156,127,150,214,16,15,12,20,148,150,174,305,18.70,19.00,†,26.00,29.70
W A MARTIN EL,Texas,481551001122,4815510,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,257,337,323,338,415,–,†,†,†,="0",="0",="0",†,3,2,="0",4,9,11,4,3,20,21,25,21,225,303,294,310,21.20,21.00,†,18.00,22.60
W A PORTER EL,Texas,481023000502,4810230,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,528,501,573,563,536,–,†,†,†,="0",="0",="0",1,9,7,4,3,20,10,19,20,7,7,3,3,492,477,547,536,27.40,27.00,†,26.00,21.50
W A TODD MIDDLE,Texas,481739005976,4817390,6-Small town,6-Small town,6-Small town,6-Small town,†,1226,1057,1016,1048,969,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,1188,1025,985,1010,1,1,="0",†,36,31,31,38,66.00,66.00,†,63.00,62.20
W B GREEN J H,Texas,482604002926,4826040,6-Small town,6-Small town,6-Small town,6-Small town,†,555,521,539,512,521,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,491,461,475,444,1,="0",="0",2,63,60,64,66,45.80,30.00,†,29.00,23.70
W E GREINER EXPLORATORY ARTS ACADEMY,Texas,481623001266,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,1675,1598,1406,1449,1436,–,†,†,†,5,11,13,7,6,8,6,12,1144,1076,923,950,318,301,274,272,202,202,190,208,99.20,99.00,†,82.00,61.80
W E PETE FORD MIDDLE,Texas,480789005842,4807890,6-Small town,6-Small town,6-Small town,6-Small town,†,808,758,759,695,740,–,†,†,†,3,4,7,8,6,5,5,8,26,26,18,19,26,25,19,25,747,698,710,635,84.40,45.00,†,41.00,47.70
W E ROGERS EL,Texas,483306003686,4833060,1-Large city,1-Large city,1-Large city,1-Large city,†,559,604,489,504,550,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,13,27,6,6,541,573,481,497,5,4,2,1,34.80,35.00,†,31.00,35.30
W F GEORGE MIDDLE,Texas,482426002704,4824260,6-Small town,6-Small town,6-Small town,6-Small town,†,426,405,422,410,397,–,†,†,†,4,3,3,2,2,2,2,2,11,9,14,10,5,2,1,†,404,389,402,396,23.40,23.00,†,22.00,22.30
W GARDEN EARLY CHILD,Texas,484372004973,4843720,6-Small town,6-Small town,6-Small town,6-Small town,†,257,253,213,195,188,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,238,235,197,182,="0",="0",="0",†,18,18,16,13,7.00,7.00,†,6.00,1.90
W H ADAMSON H S,Texas,481623001206,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,1356,1361,1391,1300,1177,–,†,†,†,8,9,11,12,8,7,8,10,1100,1065,1026,918,180,216,283,285,60,64,63,75,77.80,78.00,†,65.00,63.40
W H BONNER EL,Texas,482379006865,4823790,5-Large town,†,†,†,†,426,†,†,†,†,–,†,†,†,1,†,†,†,="0",†,†,†,44,†,†,†,23,†,†,†,358,†,†,†,23.20,†,†,†,†
W H BURNETT EL,Texas,484245004840,4842450,6-Small town,6-Small town,6-Small town,6-Small town,†,621,614,607,567,557,–,†,†,†,="0",1,="0",†,6,4,7,7,62,74,65,50,220,212,198,207,333,323,337,303,37.30,37.00,†,36.00,32.80
W H GASTON MIDDLE,Texas,481623001261,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,802,790,797,864,864,–,†,†,†,6,3,3,4,22,27,36,41,161,160,147,136,367,334,349,395,246,266,262,288,50.00,50.00,†,43.00,53.40
W J KNOX EL,Texas,483873004404,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,272,242,228,197,200,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,269,239,225,197,="0",="0",1,†,3,3,2,†,16.90,17.00,†,14.00,12.00
W J TURNER EL,Texas,481970001921,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,745,733,679,611,562,–,†,†,†,2,1,1,†,1,="0",="0",†,579,553,481,364,24,20,26,82,139,159,171,165,34.70,35.00,†,24.00,28.00
W L HIGGINS EL,Texas,483301006768,4833010,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,†,457,411,†,†,†,–,†,†,†,7,3,†,†,="0",="0",†,†,3,2,†,†,27,17,†,†,420,389,†,†,23.30,23.00,†,†,†
W M GREEN EL,Texas,481970001864,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,403,482,516,530,553,–,†,†,†,="0",="0",1,†,="0",1,1,†,43,58,55,48,219,241,275,315,141,182,184,167,27.20,27.00,†,23.00,25.70
W M PEARCE PRI,Texas,484092004654,4840920,1-Large city,1-Large city,1-Large city,1-Large city,†,835,821,810,767,1024,–,†,†,†,="0",="0",="0",1,3,2,2,3,631,633,630,581,4,2,1,5,197,184,177,177,51.40,51.00,†,48.00,48.60
W R ROBBINS H S,Texas,480894005400,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,290,259,215,226,234,–,†,†,†,="0",="0",="0",†,1,="0",1,†,134,129,77,71,101,76,81,62,54,54,56,93,19.10,19.00,†,19.00,19.30
W S PERMENTER MIDDLE,Texas,481323000825,4813230,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,691,594,581,545,479,–,†,†,†,7,5,4,1,9,8,14,12,66,68,62,46,140,109,103,81,469,404,398,405,39.80,40.00,†,37.00,29.40
W T FRANCISCO EL,Texas,481023000503,4810230,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,247,242,260,272,263,–,†,†,†,3,="0",1,2,4,2,2,2,31,25,30,27,="0",2,4,3,209,213,223,238,17.10,17.00,†,18.00,15.20
W T WHITE H S,Texas,481623001383,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,1145,1256,1325,1420,1468,–,†,†,†,4,3,3,2,24,21,21,29,333,275,243,212,307,424,441,459,477,533,617,718,72.50,72.00,†,73.00,71.40
W TEXAS CHILDREN`S HOME,Texas,489955005633,4899550,†,†,†,†,†,†,†,†,†,215,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.00"
W TEXAS CHLDRNS HOME,Texas,489955006497,4899550,†,†,†,7-Rural - outside CBSA/MSA,†,†,†,†,185,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,102,†,†,†,45,†,†,†,38,†,†,†,="0.00",†
W TX REHAB CTR,Texas,480744005382,4807440,†,2-Midsize city,2-Midsize city,2-Midsize city,†,†,7,11,11,15,†,†,†,†,†,="0",="0",†,†,="0",="0",†,†,1,2,1,†,1,1,1,†,5,8,9,†,3.00,†,2.00,1.00
W V SWINBURN EL,Texas,484332004917,4843320,6-Small town,6-Small town,6-Small town,6-Small town,†,288,293,322,331,332,–,†,†,†,="0",2,2,†,1,1,="0",†,126,127,138,144,23,28,26,32,138,135,156,155,20.60,21.00,†,22.00,20.60
W W BUSHMAN EL,Texas,481623001224,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,635,653,714,709,810,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,14,17,31,24,619,632,681,682,2,4,2,3,44.30,44.00,†,41.00,53.50
W W SAMUELL H S,Texas,481623001379,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,1325,1382,1432,1567,1640,–,†,†,†,="0",1,="0",1,13,12,17,21,236,201,214,241,711,720,701,754,365,448,500,550,86.70,87.00,†,88.00,87.50
W W WHITE EL,Texas,483873004405,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,584,631,667,644,673,–,†,†,†,="0",="0",4,4,1,2,2,5,101,107,109,126,449,481,513,482,33,41,39,27,37.00,37.00,†,33.00,31.80
WACO CENTER FOR YOUTH,Texas,489954005632,4899540,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.00"
WACO CTR FOR YOUTH,Texas,480915006358,4809150,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,74,76,98,103,†,–,†,†,†,="0",="0",="0",†,="0",1,="0",†,12,7,13,10,10,19,19,19,52,49,66,74,8.00,8.00,†,12.00,†
