Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
KIRBYVILLE CISD,Texas,4825710,JASPER,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1593,1565,1594,1533,1514,252,240,236,205,194,3,3,2,3,3,0,0,0,0,0,35,31,26,23,17,263,289,277,283,286,1292,1242,1295,1224,1204,8970000,8322000,7163000,7782000,7488000,6417000,5631,5318,4731,4885,4785,4238,6,4473
KLEIN ISD,Texas,4825740,HARRIS,27,27,27,25,25,3-Urban fringe of large city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,29324,28762,28057,27730,27236,3763,3409,3145,2717,2703,79,83,77,77,67,2008,1970,1894,1831,1756,3742,3479,3179,3009,2857,3321,3113,2921,2719,2558,20174,20117,20261,20094,19782,167297000,155304000,122597000,159630000,154160000,127366000,5705,5400,4501,5431,5349,4676,11,4725
KLONDIKE ISD,Texas,4825790,DAWSON,2,2,2,2,2,6-Small town,7-Rural - outside CBSA/MSA,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,258,245,244,232,258,36,35,29,20,21,1,0,0,0,0,0,0,0,2,0,66,58,64,58,69,0,0,0,0,0,191,187,180,172,189,2973000,2806000,2078000,2319000,2001000,1890000,11523,11453,8054,8988,8167,7326,0,7880
KNIPPA ISD,Texas,4825800,UVALDE,1,2,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,240,219,227,224,211,22,24,22,19,19,0,0,0,0,0,0,0,0,0,0,134,130,126,125,111,0,0,0,0,0,106,89,101,99,100,1516000,1333000,1127000,1404000,1188000,1018000,6317,6087,5341,5850,5420,4825,0,4888
KNOX CITY-O'BRIEN CISD,Texas,4825870,KNOX,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,396,437,437,438,438,70,81,81,89,90,1,1,1,0,0,3,3,3,3,1,159,166,156,150,155,31,33,39,43,48,202,234,242,242,228,2856000,2719000,2676000,2866000,3009000,2628000,7212,6222,6110,7237,6886,6000,0,7101
KOPPERL ISD,Texas,4825890,BOSQUE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,305,346,258,241,225,45,51,41,42,36,0,1,1,1,0,0,2,0,0,0,14,19,17,15,17,0,3,1,0,0,291,321,239,225,208,1874000,1942000,1329000,1689000,1640000,1386000,6144,5613,5907,5531,4734,6160,0,5082
KOUNTZE ISD,Texas,4825920,HARDIN,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1328,1337,1298,1323,1323,169,152,164,156,160,0,0,0,0,0,2,1,0,2,3,16,14,9,12,16,217,208,221,220,219,1093,1114,1068,1089,1083,7906000,7189000,6115000,9208000,6663000,4945000,5953,5377,4622,6922,4984,3738,1,4529
KRESS ISD,Texas,4825950,SWISHER,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,366,355,355,331,350,50,51,37,38,36,1,0,0,0,0,0,0,0,0,0,185,173,175,168,186,22,19,17,21,26,158,163,163,142,138,3302000,2286000,2169000,2784000,2258000,2012000,9022,6439,6197,7607,6361,5749,0,6077
KRUM ISD,Texas,4825980,DENTON,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,872,874,867,866,838,140,136,125,117,106,0,0,0,1,1,3,2,2,3,4,50,40,43,44,42,11,11,11,10,10,808,821,811,808,781,5873000,5364000,4051000,8034000,4813000,3461000,6735,6137,4834,9197,5492,4130,0,4929
LA FERIA ISD,Texas,4826040,CAMERON,6,5,5,5,5,4-Urban fringe of midsize city,4-Urban fringe of midsize city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2589,2627,2550,2430,2350,261,255,222,192,191,0,0,2,0,0,4,3,1,1,1,2263,2287,2242,2146,2044,5,6,5,5,5,317,331,303,278,298,15338000,13962000,10913000,15193000,14589000,9711000,5924,5315,4644,5867,5552,4132,29,5131
LA GLORIA ISD,Texas,4826070,JIM WELLS,1,1,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,85,81,73,65,63,6,9,7,4,5,0,5,2,2,0,0,0,0,0,0,61,57,46,45,44,0,0,0,0,0,24,19,25,18,19,700000,674000,513000,598000,635000,508000,8235,8321,8143,7035,7840,8063,0,7000
LA GRANGE ISD,Texas,4826100,FAYETTE,4,4,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1931,1969,1930,1946,1878,218,222,204,197,186,0,0,1,1,2,1,1,5,6,3,325,299,271,262,235,198,219,202,211,200,1407,1450,1451,1466,1438,12681000,11796000,8438000,10262000,10873000,7312000,6567,5991,4493,5314,5522,3894,0,4672
LA JOYA ISD,Texas,4826130,HIDALGO,14,13,12,11,11,4-Urban fringe of midsize city,4-Urban fringe of midsize city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,13545,12770,12160,11487,10669,1278,1126,918,768,622,0,0,1,0,0,6,4,5,8,11,13455,12669,12066,11384,10474,1,2,7,7,8,83,95,81,88,75,87772000,76903000,56071000,79725000,76165000,51744000,6480,6022,5256,5881,5961,4850,39,4928
LA MARQUE ISD,Texas,4826160,GALVESTON,7,8,10,11,10,3-Urban fringe of large city,3-Urban fringe of large city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4435,4690,4718,4898,5000,489,513,508,510,493,2,6,3,5,4,25,37,30,36,39,422,438,446,445,456,2729,2829,2797,2824,2790,1257,1380,1451,1588,1703,27659000,27214000,23386000,24509000,29290000,24281000,6237,5803,4677,5524,6245,4856,67,5058
LA PORTE ISD,Texas,4826190,HARRIS,13,12,13,12,11,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,7444,7416,7384,7579,7762,718,675,707,739,773,24,23,19,16,20,92,97,83,89,95,1399,1301,1317,1352,1386,621,640,638,660,665,5308,5355,5327,5462,5574,60081000,58828000,40928000,57644000,44011000,39993000,8071,7933,5273,7712,5917,5152,5,5668
LA PRYOR ISD,Texas,4826250,ZAVALA,3,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,463,475,520,520,498,62,80,77,84,84,4,0,0,0,0,1,1,1,1,1,400,411,451,448,406,1,1,0,0,0,57,62,68,71,91,3737000,3836000,3702000,4696000,3737000,3017000,8071,8076,7434,10143,7857,6058,0,8302
LA VEGA ISD,Texas,4826280,MCLENNAN,6,6,4,5,5,2-Midsize city,2-Midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2454,2510,2118,2474,2342,367,388,304,328,296,9,3,3,5,8,3,7,12,13,9,533,514,411,452,430,466,495,435,471,459,1443,1491,1258,1533,1431,15734000,13324000,10305000,14691000,12886000,9644000,6412,5308,4400,5968,5115,4118,0,5571
LA VERNIA ISD,Texas,4826310,WILSON,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1740,1645,1557,1457,1325,242,209,244,212,197,1,1,1,1,0,5,3,2,3,4,244,230,209,202,182,32,21,18,19,16,1458,1390,1331,1232,1121,9590000,8119000,5886000,9946000,6956000,5096000,5511,4936,4442,5700,4229,3846,0,4194
LA VILLA ISD,Texas,4826340,HIDALGO,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,747,762,698,734,705,95,80,66,75,64,1,0,0,0,0,0,0,0,0,0,742,760,696,734,702,0,0,0,0,0,4,2,2,0,3,6274000,5777000,4906000,6724000,4849000,4676000,8399,7581,6959,9001,6144,6633,28,6854
LACKLAND ISD,Texas,4826370,BEXAR,2,2,2,2,2,1-Large city,1-Large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,887,936,945,932,907,118,127,121,121,119,4,4,4,3,1,26,24,30,28,25,148,171,183,155,111,182,155,159,164,187,527,582,570,582,583,12073000,7655000,6127000,12037000,7246000,5034000,13611,8178,6755,13570,7741,5550,0,6475
LAGO VISTA ISD,Texas,4826400,TRAVIS,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,656,595,581,536,473,105,94,82,88,72,1,1,2,1,1,13,8,6,7,6,35,34,38,30,25,6,5,5,5,4,601,547,530,493,437,4846000,4614000,3437000,4424000,4009000,3032000,7387,7755,7266,6744,6738,6410,0,6032
LAKE DALLAS ISD,Texas,4826430,DENTON,5,5,5,5,5,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2226,2013,1829,1809,1779,336,282,251,200,221,25,25,23,26,31,28,27,27,33,37,132,101,90,89,86,52,38,28,23,25,1989,1822,1661,1638,1600,12222000,10488000,7983000,11246000,8968000,7054000,5491,5210,4487,5052,4455,3965,0,4085
LAKE TRAVIS ISD,Texas,4826470,TRAVIS,4,4,4,4,3,1-Large city,1-Large city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2649,2467,2246,2082,1911,342,305,268,225,224,9,4,4,3,3,12,12,10,8,7,246,244,200,200,185,8,9,7,6,4,2374,2198,2025,1865,1712,20888000,18248000,12247000,17794000,19523000,11503000,7885,7397,6409,6699,7914,6019,92,5224
LAKE WORTH ISD,Texas,4826490,TARRANT,5,4,4,4,4,3-Urban fringe of large city,3-Urban fringe of large city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1634,1627,1576,1523,1469,245,222,189,176,158,9,8,7,6,7,11,12,15,14,14,520,482,452,412,374,84,84,86,76,55,1010,1041,1018,1015,1017,10435000,8578000,6945000,11471000,14227000,5644000,6386,5272,4728,6895,8742,3842,0,5355
LAKEVIEW ISD,Texas,4826550,HALL,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,74,87,94,111,96,14,13,11,9,13,0,0,0,0,0,0,0,0,0,0,63,73,73,96,72,0,3,0,0,0,11,11,21,15,20,647000,601000,531000,650000,639000,641000,8743,6908,5531,8784,7345,6677,0,8581
LAMAR CISD,Texas,4826580,FORT BEND,25,25,25,23,23,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,13774,13531,13313,12906,12818,1655,1588,1524,1457,1426,13,12,10,5,2,109,114,105,94,74,6418,6248,6135,5905,5896,1843,1793,1766,1725,1720,5391,5364,5297,5177,5108,79077000,78221000,64417000,82999000,72358000,56665000,5741,5781,5026,6026,5348,4421,0,5332
LAMESA ISD,Texas,4826610,DAWSON,7,7,6,6,6,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2626,2791,2830,2837,2843,286,310,321,292,215,1,1,1,1,1,1,1,3,2,6,1678,1753,1803,1778,1753,139,147,141,148,153,807,889,899,908,929,15563000,11408000,12451000,14182000,14814000,11475000,5927,4087,4380,5401,5308,4036,10,5225
LAMPASAS ISD,Texas,4826640,LAMPASAS,7,8,5,6,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3159,2940,2759,2541,2413,386,321,326,297,273,19,14,17,12,11,22,14,17,12,11,499,464,459,438,431,123,111,80,74,57,2496,2337,2186,2005,1899,18726000,15493000,10729000,20155000,16087000,9437000,5928,5270,4446,6380,5472,3911,0,4321
LANCASTER ISD,Texas,4826670,DALLAS,8,8,8,8,8,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4042,3945,4062,4075,4219,443,446,464,500,476,15,15,15,19,19,19,18,14,15,12,464,431,428,416,402,2137,1939,1825,1657,1676,1407,1542,1780,1968,2110,23240000,21208000,20253000,20282000,18866000,18096000,5750,5376,4800,5010,4782,4289,0,4553
LANEVILLE ISD,Texas,4826700,RUSK,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,283,292,326,348,344,74,77,89,88,63,0,0,0,0,0,1,0,0,0,0,38,44,41,21,32,181,177,198,207,199,63,71,89,120,113,2266000,2252000,2235000,2089000,2130000,1845000,8007,7712,6497,7382,7295,5363,0,7099
LAPOYNOR ISD,Texas,4826220,HENDERSON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,460,439,436,442,394,64,48,47,49,53,0,0,0,0,0,0,0,1,1,0,10,13,9,8,2,58,57,57,65,62,392,369,369,368,330,3309000,3120000,2252000,2918000,2782000,2226000,7193,7107,5716,6343,6337,5650,0,5863
LAREDO ISD,Texas,4826790,WEBB,28,28,28,28,28,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,23434,23630,23871,23953,23731,2643,2382,2360,2258,2170,3,2,7,2,1,29,26,21,19,13,22992,23165,23366,23446,23206,12,12,16,14,16,398,425,461,472,495,122898000,108259000,109421000,126567000,130875000,97938000,5244,4581,4611,5401,5538,4127,27,5084
LASARA ISD,Texas,4826850,WILLACY,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,263,290,249,246,247,32,36,36,33,37,0,0,0,0,0,0,0,0,0,0,251,279,241,238,243,0,2,0,0,0,12,9,8,8,4,1943000,2214000,1646000,2171000,2074000,1480000,7388,7634,6664,8008,6959,5992,80,7331
LATEXO ISD,Texas,4826910,HOUSTON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,457,447,464,446,445,75,67,80,74,58,0,0,0,0,3,2,2,2,2,3,29,19,18,12,17,12,14,14,18,14,414,412,430,414,408,2570000,2275000,2248000,2467000,2836000,2295000,5624,5089,5052,5396,6324,5157,0,4670
LAURELES ISD,Texas,4826940,KLEBERG,†,†,†,1,1,†,†,†,2-Midsize city,2-Midsize city,†,†,01-Elementary school system only,†,†,†,7,12,†,†,†,1,0,†,†,†,0,0,†,†,†,0,0,†,†,†,5,9,†,†,†,0,0,†,†,†,2,3,†,†,459000,0,0,509000,†,†,38250,†,†,42417,†,†
LAZBUDDIE ISD,Texas,4826970,PARMER,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,246,239,240,244,268,37,36,38,39,51,0,0,0,0,0,0,0,0,0,0,87,87,86,91,113,0,0,0,0,0,159,152,157,153,152,2058000,1691000,1690000,2138000,1876000,1564000,8366,7075,6306,8663,7849,5836,0,7451
LEAKEY ISD,Texas,4827000,REAL,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,268,276,249,257,267,63,53,40,38,36,0,0,0,0,0,0,0,0,0,0,64,69,72,71,71,1,1,1,2,0,203,206,176,184,196,2014000,1910000,1471000,1896000,1760000,1293000,7515,6920,5509,7075,6377,4843,0,6343
LEANDER ISD,Texas,4827030,WILLIAMSON,8,9,7,8,8,3-Urban fringe of large city,3-Urban fringe of large city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,8932,8043,7178,6481,5840,1028,943,839,759,673,37,27,16,8,10,145,133,109,92,82,1023,876,736,657,550,233,215,158,149,117,7494,6792,6159,5575,5081,53849000,47298000,27729000,79280000,61507000,24491000,6029,5881,4748,8873,7642,4194,18,4552
LEARY ISD,Texas,4827060,BOWIE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,119,98,94,98,122,22,18,18,15,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,7,9,8,11,113,91,84,89,111,818000,696000,735000,651000,610000,701000,6874,7102,6025,5454,6224,5746,0,5412
